Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Fields of Study,Keywords,MeSH Terms,Chemicals,DOI
000-224-833-114-946,Synthesizing Realistic Expressions in 3D Face Data Sets,,2008,conference proceedings article,"2008 IEEE Second International Conference on Biometrics: Theory, Applications and Systems",,IEEE,,Jacey-Lynn Minoi; S.H. Amin; Carlos Eduardo Thomaz; Duncan Fyfe Gillies,"This paper presents a robust method for synthesizing realistic expressions on 3D human face surfaces captured from frontal photographs with neutral expression. The generated facial expressions could be used to improve the performance of existing face identification systems, or to enhance human recognition. Firstly, the 3D face surface map is recovered using an analysis-by-synthesis approach based on a statistical model for encoding face shape information. Then a statistical discriminant model approach is employed to synthesize new facial expressions. The synthetic expression data is created by dividing a training set into two classes, for example smiling and frowning, and then finding the most discriminant direction between the classes. The expressions are applied to a human face by moving the surface points along this most discriminant direction. The resulting 3D models can be rendered under a variety of pose and illumination conditions. The key advantage of the proposed method is that expressions of varying degrees can be easily generated without having detailed changes in the 3D expression database. Besides altering human facial expressions, SDM could also be used to generate facial aging to aid the process of identifying missing children or adults after a time lapse. Moreover, synthetic biometric data contains 3D topology information, which is useful in analysing geometric facial shape changes over different facial expressions.",Solid modeling; Statistical model; Artificial intelligence; Pattern recognition; Facial expression; Face (geometry); Surface map; Facial recognition system; Computer vision; Computer science; Pose; Expression (mathematics),,,,10.1109/btas.2008.4699374
000-401-992-680-894,Child abduction homicide by adolescent perpetrators: a rare case report,2020-07-30,2020,journal article,International Journal of Health Research and Medico Legal Practice,24545139; 2394806x,International Journal of Health Research and Medico-Legal Practice,,Deepmalya Sengupta; Sujash Biswas,"Cases of child abduction and homicide though rare but are often overwhelming due to the public and media attention. While numerous studies on child abuse and neglect have been conducted throughout the country and worldwide, research on child abduction and homicide remains scant. We report such a case of a child who was abducted and eventually smothered to death by a couple of adolescent perpetrators. We also intend to better understand these types of child abduction homicides and to analyze strategies that will help to revamp the expertise into such criminal investigations.",Psychology; Rare case; Homicide; Criminology,Child abduction; homicide  smothering; juvenile hate crimes; adolescents,,,10.31741/ijhrmlp.v6.i2.2020.13
000-675-811-044-572,Biometric Child Vaccination System,2024-01-29,2024,journal article,"International Journal of Advanced Research in Science, Communication and Technology",25819429,Naksh Solutions,,null Mrs. Prajakta Mahajan; null Gaurav Pawar; null Ruturaj Misal; null Pratik Gitte; null Chaitanya Kalel,"<jats:p>With a number of emerging applications requiring biometric recognition of children (e.g., tracking child vaccination schedules, identifying missing children and preventing newborn baby swaps in hospitals), investigating the temporal stability of biometric recognition accuracy for children is important. The persistence of recognition accuracy of three of the most commonly used biometric traits (fingerprints, face and iris) has been investigated for adults. However, persistence of biometric recognition accuracy has not been studied systematically for children in the age group of 0-4 years. Given that very young children are often uncooperative and do not comprehend or follow instructions, in our opinion, among all biometric modalities, fingerprints are the most viable for recognizing children. This is primarily because it is easier to capture fingerprints of young children compared to other biometric traits, e.g., iris, where a child needs to stare directly towards the camera to initiate iris capture. In this report, we detail our initiative to investigate the persistence of fingerprint recognition for children in the age group of 0-4 years. Based on preliminary results obtained for the data collected in the first phase of our study, use of fingerprints for recognition of 0- 4 year-old children appears promising.</jats:p>",Vaccination; Biometrics; Medicine; Computer science; Virology; Computer security,,,,10.48175/ijarsct-15240
000-713-888-798-713,Finding Missing Children: Aging Deep Face Features,2019-11-18,2019,preprint,arXiv: Computer Vision and Pattern Recognition,,,,Debayan Deb; Divyansh Aggarwal; Anil K. Jain,"Given a gallery of face images of missing children, state-of-the-art face recognition systems fall short in identifying a child (probe) recovered at a later age. We propose an age-progression module that can age-progress deep face features output by any commodity face matcher. For time lapses larger than 10 years (the missing child is found after 10 or more years), the proposed age-progression module improves the closed-set identification accuracy of FaceNet from 40% to 49.56% and CosFace from 56.88% to 61.25% on a child celebrity dataset, namely ITWCC. The proposed method also outperforms state-of-the-art approaches with a rank-1 identification rate from 94.91% to 95.91% on a public aging dataset, FG-NET, and from 99.50% to 99.58% on CACD-VS. These results suggest that aging face features enhances the ability to identify young children who are possible victims of child trafficking or abduction.",Face (geometry); Speech recognition; Child trafficking; Facial recognition system; Computer science; Identification (information),,,,
001-048-044-276-623,Age-progression technology and its application to law enforcement,1996-02-19,1996,conference proceedings article,SPIE Proceedings,0277786x,SPIE,,Horace Heafner,"The application of recent computer technology of the National Center for Missing and Exploited Children (NCMEC) has provided the means to age progress faces of long term missing children. In the thousands of cases of missing children that have disappeared for two or more years, there is a particular priority to identify and recover these children. It is apparent that long term solutions to this problem lie in the realm of technology. One of the areas is the computerized aging of children's faces. Forensic artists working with this new technology help this goal become a reality. When imaging a child's face, the forensic artist must consider using photographs of the biological family at an age consistent with the age of the missing child. With these pictures, a reasonable likeness can be produced using computer technology. This image can aid law enforcement, child find and social service agencies and the public in their search for the missing child. Unique features of the system provide for the stretching, merging, pixelation and refining of a completed progression. A knowledge of the steps of facial growth and anatomy is necessary to achieve an accurate image. Future developments in age progression and facial reconstruction may be in the realm of morphing technology. Application of this technology is being tested to provide a more accurate image for investigative use.© (1996) COPYRIGHT SPIE--The International Society for Optical Engineering. Downloading of the abstract is permitted for personal use only.",Internet privacy; Pixelation; Artificial intelligence; Social work; Realm; Law enforcement; Age progression; Computer technology; Computer science; Software development; Term (time),,,,10.1117/12.233071
001-149-457-405-844,"Families of Missing Children: Psychological Consequences and Promising Interventions in the United States, 1989-1991",1997-03-07,1997,dataset,ICPSR Data Holdings,,Inter-university Consortium for Political and Social Research (ICPSR),,Chris Hatcher,,Psychological intervention; Psychology; Developmental psychology; Clinical psychology; Psychiatry,,,,10.3886/icpsr06140
001-162-232-268-697,LibGuides: Every Child Matters: Honouring the Missing Children: Indigenous-settler relations,2021-05-31,2021,libguide,,,,,Pia Russell,This library guide lists educational and scholarly resources related to the remembrance of the many children missing from Canada's residential schools,Gender studies; Sociology; Indigenous,,,,
001-264-675-686-991,Representation of Missing Children in National Television News,,,dissertation,,,West Virginia University Libraries,,Clara Simmons,,Journalism; Representation (systemics); Computer science; Linguistics,,,,10.33915/etd.338
001-300-754-648-198,Missing child monitoring system using deep learning methods a comparison,2023-11-14,2023,book chapter,"Artificial Intelligence, Blockchain, Computing and Security Volume 2",,CRC Press,,S. Alex David; M. Leelavathi; G.G. Swathika; N. Ruth Naveena,Most of the counties suffering with the social issue of child trafficking. The potential in the children's can be used in either right or wrong direction. There are lots of missing child cases reported to the police every day. Computer aided tracking systems helps to find the missing children. Deep learning-based approaches helps to improve many systems. In this paper a detailed analysis on the deep learning-based systems used for finding the missing children's have done. Various datasets and algorithms were compared based on the performance of the model.,Computer science; Artificial intelligence,,,,10.1201/9781032684994-53
001-322-572-317-838,Face Boundary Formulation for Harmonic Models: Face Image Resembling.,2025-01-08,2025,journal article,Journal of imaging,2313433x,MDPI AG,Switzerland,Hung-Tsai Huang; Zi-Cai Li; Yimin Wei; Ching Yee Suen,"This paper is devoted to numerical algorithms based on harmonic transformations with two goals: (1) face boundary formulation by blending techniques based on the known characteristic nodes and (2) some challenging examples of face resembling. The formulation of the face boundary is imperative for face recognition, transformation, and combination. Mapping between the source and target face boundaries with constituent pixels is explored by two approaches: cubic spline interpolation and ordinary differential equation (ODE) using Hermite interpolation. The ODE approach is more flexible and suitable for handling different boundary conditions, such as the clamped and simple support conditions. The intrinsic relations between the cubic spline and ODE methods are explored for different face boundaries, and their combinations are developed. Face combination and resembling are performed by employing blending curves for generating the face boundary, and face images are converted by numerical methods for harmonic models, such as the finite difference method (FDM), the finite element method (FEM) and the finite volume method (FVM) for harmonic models, and the splitting-integrating method (SIM) for the resampling of constituent pixels. For the second goal, the age effects of facial appearance are explored to discover that different ages of face images can be produced by integrating the photos and images of the old and the young. Then, the following challenging task is targeted. Based on the photos and images of parents and their children, can we obtain an integrated image to resemble his/her current image as closely as possible? Amazing examples of face combination and resembling are reported in this paper to give a positive answer. Furthermore, an optimal combination of face images of parents and their children in the least-squares sense is introduced to greatly facilitate face resembling. Face combination and resembling may also be used for plastic surgery, finding missing children, and identifying criminals. The boundary and numerical techniques of face images in this paper can be used not only for pattern recognition but also for face morphing, morphing attack detection (MAD), and computer animation as Sora to greatly enhance further developments in AI.",Face (sociological concept); Computer science; Artificial intelligence; Computer vision; Image (mathematics); Boundary (topology); Pattern recognition (psychology); Mathematics; Mathematical analysis; Social science; Sociology,ODE using Hermite interpolation; age effects; blending curves; face boundary formulation; face combination and resembling; face morphing; harmonic models; morphing attack detection; splitting–integrating method,,,10.3390/jimaging11010014
