Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
000-123-005-317-454,Characteristics of missing physical activity data in children and youth.,2013-12-06,2013,journal article,Research quarterly for exercise and sport,02701367; 21683824; 03649857,Informa UK Limited,United Kingdom,Jie Zhuang; Peijie Chen; Chao Wang; Liang Huang; Zheng Zhu; Wenjie Zhang; Xiang Fan,"Purpose: The purpose of this study was to investigate the characteristics of missing physical activity (PA) data of children and youth. Method: PA data from the Chinese City Children and Youth Physical Activity Study (N = 2,758; 1,438 boys and 1,320 girls; aged 9–17 years old) were used for the study. After the data were sorted by the weekday (WD) and recording day (RD), the missing ratio (MR) was calculated by gender, age, and body mass index (BMI). Chi-square tests were used to determine the effect of WD and RD on missing data. The joint impact (WD × RD) on the MR, as well as their interactions with age, gender, and BMI, were also analyzed. Results: Out of a total of 19,306 records, 5,400 (28.0%) were missing. The total MR significantly differed by WD and RD. There were more missing data during weekend days than during WDs, with the highest being on Sunday (36.2%). Older youth (aged 15–17 years old) had more missing data than did the 9- to 11-year-old group and 12- to 14-year-old group. In terms of RD, ...",84,4,S41,7,Body weight; Demography; Body mass index; Motor activity; Chinese city; Age differences; Physical activity; Imputation (statistics); Medicine; Missing data,,Accelerometry/instrumentation; Adolescent; Age Factors; Child; China; Data Collection; Female; Health Surveys; Humans; Male; Motor Activity; Time Factors,,,https://eric.ed.gov/?id=EJ1023558 https://www.ncbi.nlm.nih.gov/pubmed/24527565 https://shapeamerica.tandfonline.com/doi/full/10.1080/02701367.2013.851059 https://www.tandfonline.com/doi/full/10.1080/02701367.2013.851059,http://dx.doi.org/10.1080/02701367.2013.851059,24527565,10.1080/02701367.2013.851059,2076644081,,0,002-355-042-779-194; 002-794-306-469-005; 011-819-778-525-858; 012-613-921-621-432; 020-201-432-310-261; 022-316-478-048-206; 022-385-159-732-245; 032-831-712-849-351; 038-430-834-596-031; 038-543-510-357-22X; 041-149-520-394-801; 045-816-333-855-58X; 052-566-205-211-514; 055-448-834-443-90X; 061-633-684-298-63X; 069-135-096-513-961; 078-719-774-232-671; 116-528-456-026-826; 127-742-936-059-789; 145-030-875-280-03X,2,false,,
000-362-243-944-101,CVPR - Missing Slice Recovery for Tensors Using a Low-Rank Model in Embedded Space,,2018,conference proceedings article,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,,IEEE,,Tatsuya Yokota; Burak Erem; Seyhmus Guler; Simon K. Warfield; Hidekata Hontani,"Let us consider a case where all of the elements in some continuous slices are missing in tensor data. In this case, the nuclear-norm and total variation regularization methods usually fail to recover the missing elements. The key problem is capturing some delay/shift-invariant structure. In this study, we consider a low-rank model in an embedded space of a tensor. For this purpose, we extend a delay embedding for a time series to a ""multi-way delay-embedding transform"" for a tensor, which takes a given incomplete tensor as the input and outputs a higher-order incomplete Hankel tensor. The higher-order tensor is then recovered by Tucker-based low-rank tensor factorization. Finally, an estimated tensor can be obtained by using the inverse multiway delay embedding transform of the recovered higher-order tensor. Our experiments showed that the proposed method successfully recovered missing slices for some color images and functional magnetic resonance images.",,,8251,8259,Rank (linear algebra); Tensor; Algorithm; Space (mathematics); Series (mathematics); Artificial intelligence; Total variation denoising; Inverse; Mathematics; Embedding; Matrix decomposition,,,,,https://ieeexplore.ieee.org/document/8578959 https://dblp.uni-trier.de/db/conf/cvpr/cvpr2018.html#YokotaEGWH18 https://openaccess.thecvf.com/content_cvpr_2018/papers/Yokota_Missing_Slice_Recovery_CVPR_2018_paper.pdf https://openaccess.thecvf.com/content_cvpr_2018/html/Yokota_Missing_Slice_Recovery_CVPR_2018_paper.html,http://dx.doi.org/10.1109/cvpr.2018.00861,,10.1109/cvpr.2018.00861,2962915592,,2,000-870-465-279-726; 001-309-698-900-870; 006-107-144-873-731; 008-358-963-806-865; 010-037-102-410-599; 011-827-251-119-159; 016-776-469-886-961; 029-150-404-979-195; 030-677-287-468-869; 032-237-524-823-62X; 042-848-043-835-406; 042-917-926-681-988; 044-486-230-685-789; 055-382-103-583-096; 059-095-852-089-988; 059-519-963-494-683; 065-739-335-901-470; 074-230-408-262-871; 077-220-158-642-635; 079-877-406-165-903; 080-375-100-353-480; 086-349-610-860-588; 090-308-403-516-980; 092-798-854-976-238; 103-011-168-657-144; 105-888-697-187-284; 120-570-780-553-568; 121-998-844-837-193; 122-835-962-730-477; 146-899-598-564-161; 181-601-906-679-222,105,true,,green
000-380-219-542-62X,The effects of 'does not apply' on measurement of temperament with the Infant Behavior Questionnaire-Revised: A cautionary tale for very young infants.,2014-08-27,2014,journal article,Early human development,18726232; 03783782,Elsevier BV,Netherlands,Gerald F. Giesbrecht; Deborah Dewey,,90,10,627,634,Developmental psychology; Parity (mathematics); Psychology; Young infants; Infant temperament; Longitudinal cohort; Internal consistency; Outcome measures; Temperament; Missing data,Infant Behavior Questionnaire—Revised; Infant temperament; Missing data; Scoring procedure,"Adult; Cohort Studies; Data Interpretation, Statistical; Humans; Infant; Infant Behavior/physiology; Longitudinal Studies; Mothers; Prospective Studies; Surveys and Questionnaires; Temperament/physiology",,Alberta Innovates Health Solutions; Alberta Children's Hospital Foundation,https://www.ncbi.nlm.nih.gov/pubmed/25171054 https://core.ac.uk/display/148300300 https://research.tilburguniversity.edu/en/publications/the-effects-of-does-not-apply-on-measurement-of-temperament-with- https://www.narcis.nl/publication/RecordID/oai%3Apure.rug.nl%3Apublications%2Fa00542e0-cd53-4252-92e8-f81f1370c282 https://www.rug.nl/research/portal/publications/the-effects-of-does-not-apply-on-measurement-of-temperament-with-the-infant-behavior-questionnairerevised-a-cautionary-tale-for-very-young-infants(a00542e0-cd53-4252-92e8-f81f1370c282).html https://research.rug.nl/en/publications/the-effects-of-does-not-apply-on-measurement-of-temperament-with- https://europepmc.org/abstract/MED/25171054 https://prism.ucalgary.ca/handle/1880/51040 https://www.sciencedirect.com/science/article/abs/pii/S0378378214001856,http://dx.doi.org/10.1016/j.earlhumdev.2014.08.003,25171054,10.1016/j.earlhumdev.2014.08.003,2135251839,,0,015-637-299-917-545; 025-861-574-420-330; 030-050-425-004-917; 034-831-815-013-541; 061-104-771-783-285; 061-414-005-088-789; 069-510-897-413-17X; 072-162-375-284-104; 078-285-582-296-392; 080-208-104-842-726; 086-817-191-721-261; 091-998-911-058-258; 104-880-807-267-347; 121-066-080-729-589; 127-950-336-217-284; 148-891-935-071-939,5,false,,
000-954-572-563-27X,Missing the essentials? Children can be saved if they are more carefully examined,2011-10-25,2011,,,,,,Ottar Mæstad; Aziza Mwisongo,,9,,,,Visual arts; Tanzania; Cartography; History,,,,,https://brage.bibsys.no/xmlui/handle/11250/2474712 https://www.cmi.no/publications/4207-missing-the-essentials https://www.cmi.no/publications/file/4207-missing-the-essentials.pdf,https://www.cmi.no/publications/4207-missing-the-essentials,,,158500497,,0,,1,false,,
001-020-801-603-819,Fatal Journeys 4: Missing Migrant Children,,2019,,,,,,Ann Singleton,,,,,,Geography,,,,,https://research-information.bris.ac.uk/en/publications/fatal-journeys-4-missing-migrant-children,https://research-information.bris.ac.uk/en/publications/fatal-journeys-4-missing-migrant-children,,,2942562980,,0,,1,false,,
001-048-044-276-623,Age-progression technology and its application to law enforcement,1996-02-19,1996,conference proceedings article,SPIE Proceedings,0277786x,SPIE,,Horace Heafner,"The application of recent computer technology of the National Center for Missing and Exploited Children (NCMEC) has provided the means to age progress faces of long term missing children. In the thousands of cases of missing children that have disappeared for two or more years, there is a particular priority to identify and recover these children. It is apparent that long term solutions to this problem lie in the realm of technology. One of the areas is the computerized aging of children's faces. Forensic artists working with this new technology help this goal become a reality. When imaging a child's face, the forensic artist must consider using photographs of the biological family at an age consistent with the age of the missing child. With these pictures, a reasonable likeness can be produced using computer technology. This image can aid law enforcement, child find and social service agencies and the public in their search for the missing child. Unique features of the system provide for the stretching, merging, pixelation and refining of a completed progression. A knowledge of the steps of facial growth and anatomy is necessary to achieve an accurate image. Future developments in age progression and facial reconstruction may be in the realm of morphing technology. Application of this technology is being tested to provide a more accurate image for investigative use.© (1996) COPYRIGHT SPIE--The International Society for Optical Engineering. Downloading of the abstract is permitted for personal use only.",2645,,49,55,Internet privacy; Pixelation; Artificial intelligence; Social work; Realm; Law enforcement; Age progression; Computer technology; Computer science; Software development; Term (time),,,,,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/2645/1/Age-progression-technology-and-its-application-to-law-enforcement/10.1117/12.233071.full https://ui.adsabs.harvard.edu/abs/1996SPIE.2645...49H/abstract https://proceedings.spiedigitallibrary.org/proceeding.aspx?articleid=1013281,http://dx.doi.org/10.1117/12.233071,,10.1117/12.233071,2030893598,,0,,9,false,,
001-076-535-426-508,Nat Pinkerton: A Missing Genre in Russian Children’s Literature,,2020,journal article,Bookbird: A Journal of International Children's Literature,19186983,Project MUSE,,Svetlana Maslinskaya; Kirill Maslinsky,,58,2,25,33,Literature; Nat; History,,,,,https://dialnet.unirioja.es/servlet/articulo?codigo=7528086,http://dx.doi.org/10.1353/bkb.2020.0030,,10.1353/bkb.2020.0030,3047937305,,0,,1,false,,
001-101-224-173-728,Exploring Pathways to Children Missing from Education in Wales: A Longitudinal Linked Data Approach,2025-08-28,2025,journal article,International Journal of Population Data Science,23994908,Swansea University,,Tony Whiffen; Robert French; Kathryn Helliwell; Sophie Barlett; Lowri O'Donovan; Katy Huxley; Alex Sandu; Jen Keating,"<jats:p>ObjectivesChildren missing from state education is a significant policy concern, particularly since COVID-19. This study extends previous work by considering repeated cross sections of national child populations to show change over time and a cohort-based approach to better understand the longitudinal determinants of missingness from the state education system.; MethodsWe link routine health and education administrative datasets in the SAIL Databank, including GP- and school registered children living in Wales along with those educated outside mainstream schooling (Educated Other Than At School, EOTAS). Using both cross-sectional and longitudinal approaches we assess for which years children were resident in Wales, and for which of those they were in state education. We use recorded low-level geography codes to determine whether that young person lived at a residential property or a communal establishment/institution (e.g. boarding school) and whether they are still resident in Wales.; ResultsInitial analysis indicated that approximately 24,000 (6.0%) of children were estimated to be missing from state education in 2021, describing the variation by age (4.5% to 8.1%), and local authority. That work has now been updated with the most recent data to show the change in the pre-COVID to post COVID era. Furthermore, we have extended that cross sectional approach to establish a cohort for those expected to complete schooling in 2021 and to examine educational missingness longitudinally. Findings provide evidence on the importance of absence and exclusions as pathways to becoming children missing from state education.; ConclusionLinking education to health records provides a robust estimate of children missing from education. Triangulating the cross-sectional approach with the updated cross section and cohort approaches enables more robust evidence of the determinants of children missing from education at the national and individual levels.</jats:p>",10,4,,,Longitudinal data; Missing data; Computer science; Data science; Psychology; Data mining; Machine learning,,,,,https://ijpds.org/article/download/3152/6479 https://doi.org/10.23889/ijpds.v10i4.3152,http://dx.doi.org/10.23889/ijpds.v10i4.3152,,10.23889/ijpds.v10i4.3152,,,0,,0,true,"CC BY, CC0",gold
001-162-232-268-697,LibGuides: Every Child Matters: Honouring the Missing Children: Indigenous-settler relations,2021-05-31,2021,libguide,,,,,Pia Russell,This library guide lists educational and scholarly resources related to the remembrance of the many children missing from Canada's residential schools,,,,,Gender studies; Sociology; Indigenous,,,,,https://libguides.uvic.ca/missingchildren/relations,https://libguides.uvic.ca/missingchildren/relations,,,3176717476,,0,,0,false,,
001-264-675-686-991,Representation of Missing Children in National Television News,,,dissertation,,,West Virginia University Libraries,,Clara Simmons,,,,,,Journalism; Representation (systemics); Computer science; Linguistics,,,,,https://researchrepository.wvu.edu/etd/338/ https://researchrepository.wvu.edu/cgi/viewcontent.cgi?article=1341&context=etd,http://dx.doi.org/10.33915/etd.338,,10.33915/etd.338,3093424743,,0,,0,true,,bronze
