Lens ID,Title,Date Published,Publication Year,Source Country,Author/s,Abstract,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References
000-013-852-105-949,Transformation of Fuzzy Spatiotemporal Data Between Relational Databases and XML,2020-03-05,2020,Germany,Zongmin Ma; Luyi Bai; Li Yan,"Since XML could benefit greatly from database support and more specifically from relational database systems, we study the methodology of modeling fuzzy spatiotemporal data in XML and relational database, respectively. Furthermore, the approaches of transforming fuzzy spatiotemporal data between XML and relational databases have been proposed as well. To accomplish this, fuzzy spatiotemporal data models are devised in XML and in relational database to capture the semantics of fuzzy spatiotemporal features, respectively. To allow for better and platform independent sharing of fuzzy spatiotemporal data stored in a relational format, a temporal edge approach is proposed to accomplish the transformation of fuzzy spatiotemporal data between XML and relational databases. The unique feature of our approach is that no schema information is required for transformation of fuzzy spatiotemporal data. Moreover, temporal, spatial, and fuzzy features of fuzzy spatiotemporal data in XML documents are taken into consideration. Such approach of transformation could provide a significant consolidation of the interoperability of fuzzy spatiotemporal data between XML and relational databases.",Data mining; Schema (psychology); Interoperability; Relational database management system; Platform independent; Computer science; Relational database; Fuzzy logic; Data modeling; XML,,,,,https://link.springer.com/chapter/10.1007%2F978-3-030-41999-8_6,http://dx.doi.org/10.1007/978-3-030-41999-8_6,,10.1007/978-3-030-41999-8_6,3010122785,,0,004-260-397-485-081; 022-829-137-309-651; 031-462-191-988-761; 035-298-980-013-477; 036-524-959-052-622; 037-423-792-391-123; 040-980-924-876-596; 041-839-127-020-094; 042-188-541-420-552; 045-143-651-217-491; 055-103-507-047-842; 069-569-687-143-024; 070-356-185-163-347; 072-890-538-113-162; 078-255-323-902-936; 096-477-654-875-086; 102-050-063-515-276; 104-190-041-408-063; 106-238-191-913-826; 115-930-039-208-88X; 131-161-724-039-419; 144-270-736-519-748; 155-189-743-335-681; 177-313-148-081-828; 185-429-164-517-980; 195-428-811-110-764
000-145-248-288-907,EIAV DB: a comprehensive equine infectious anemia (EIAV) virus database,,,,LaRon Maurice Hughes,CHAPTER 2. BACKGROUND ON RELATIONAL DATABASES & THEIR USE IN BIOLOGY RELATIONAL DATABASE BACKGROUND RELATIONAL DATABASE USE IN BIOLOGY REFERENCES CHAPTER 3. BACKGROUND AND BIOLOGY OF EIAV 8,Virology; Virus; Equine infectious anemia; Medicine,,,,,https://lib.dr.iastate.edu/cgi/viewcontent.cgi?article=21614&context=rtd https://lib.dr.iastate.edu/rtd/20615/,http://dx.doi.org/10.31274/rtd-20201107-172,,10.31274/rtd-20201107-172,3103077741,,0,
000-188-694-048-719,Discovering new technique for mapping relational database based on semantic web technology,2012-05-26,2012,,Noreddine Gherabi; Khaoula Addakiri; Mohamed Bahaj,"Most of data on the Web are still stored in relational databases. Therefore, it is more important to make the correspondence between relational databases (RDB) and ontologies for storing the Web data. In this paper, we present an new approach to map the data stored in relational databases into the Semantic Web, we exploit simple mappings based on some specifications of the database schema, and we explain how relational databases can be used to define a mapping mechanism between relational database and OWL ontology. A framework has been developed, which migrates successfully RDB into OWL document. The experimental results were very important, demonstrating that the proposed method is feasible and efficient.",Web Ontology Language; Exploit; Semantic Web; Information retrieval; Database schema; Computer science; Relational database,,,,,https://arxiv.org/pdf/1205.5922.pdf https://arxiv.org/abs/1205.5922,https://arxiv.org/abs/1205.5922,,,3204406874,,0,001-608-113-861-950; 002-323-417-247-244; 008-008-558-653-797; 017-235-237-492-853; 024-307-702-310-052; 030-797-770-567-089; 046-596-589-924-707; 049-915-955-220-879; 058-455-722-385-463; 080-163-422-434-959; 088-848-581-033-362; 137-412-822-579-840; 147-549-060-075-012
000-205-946-541-49X,learn2therm relational database,2023-01-01,2023,,Evan Komp; Humood Alanzi; Ryan Francis; Chau Vuong; Logan Roberts; Dave Beck,"DescriptionA dataset of prokaryotes, proteins, organism pairs, and protein homologous pairs across temperature, up to 102 celsius. The data is presented in the form of a duckdb relational database, and contains 24 million proteins belonging to 9.5k prokaryotes. The proteins have been pairs by homology, producing 70 millions pairs of mesophilic-thermophilic proteins. Please see the README contained within the zipped file for instructions on usage and access of the relational data file. See the code repository, in this Figshare project and the main paper (TODO) for details on how this data was created<br>Contents`learn2therm.ddb` - duckdb file containing the data`environment.yaml` - minimal conda environment necessary to access the data`README.md` - instructions on accessing the data, including some example queries. Also contains the schema of the tables in the relational database.- `csvs/` , Colon-seperated dump files from the data tablesAll material in this project:- Database pipeline source code: 10.6084/m9.figshare.23589390- (here) Database: 10.6084/m9.figshare.23581932- Classifier source code: 10.6084/m9.figshare.23589210- Trained classifier: 10.6084/m9.figshare.23582325<br>ManuscriptTODO",Database; Relational database; Computer science,,,,,https://figshare.com/articles/dataset/learn2therm_relational_database/23581932,http://dx.doi.org/10.6084/m9.figshare.23581932,,10.6084/m9.figshare.23581932,,,0,
000-216-536-968-056,Codd's Rules for Relational Database Design,,2009,,Jan L. Harrington,,Column (database); Database design; Rule-based system; Information retrieval; Relational model; Computer science; SQL; View; Relational database; Database model,,,,,https://www.sciencedirect.com/science/article/pii/B9780123747303000103,http://dx.doi.org/10.1016/b978-0-12-374730-3.00010-3,,10.1016/b978-0-12-374730-3.00010-3,2476243975,,0,
000-312-312-430-142,Core Database Concepts,,2002,,Nigel Stanger,"In Chapter 1 we learned about the history of databases and database management systems (DBMS), where and when databases are useful (and just as important, not useful), and how databases are used on the Web. In this chapter we’re going to look at some of the theory underlying modern database systems. Much of this chapter will look at the most common data model used by database systems today: the relational model. We’ll introduce you to the core concepts of the relational model and how they interact, and show you examples of what relationally structured data look like. We’ll also introduce some other important concepts that are applicable to any database, relational or otherwise.",Database tuning; Database design; Core (graph theory); Database schema; Relational model; Computer science; Database; Data dictionary,,,,,https://rd.springer.com/chapter/10.1007/978-1-4302-5377-8_3 https://link.springer.com/content/pdf/10.1007%2F978-1-4302-5377-8_3.pdf https://link.springer.com/chapter/10.1007%2F978-1-4302-5377-8_3,http://dx.doi.org/10.1007/978-1-4302-5377-8_3,,10.1007/978-1-4302-5377-8_3,77650721,,0,
000-340-459-948-200,Using Oracle GoldenGate Adapters,2016-11-02,2016,,Ravinder Gupta,"Up until now we have discussed how to capture data changes in near real-time from supported relational databases and replicate them to other relational databases such as Oracle, Sybase, Microsoft SQL, IBM DB2, and so on. The real-time capture capability for supported database systems can be used and expanded to integrate relational database systems with nonrelational databases and also with nondatabase systems.",Flat file database; Relational database management system; Target database; Computer science; SQL; Oracle; Relational database; IBM; Database,,,,,https://rd.springer.com/chapter/10.1007/978-1-4842-2301-7_17 https://link.springer.com/chapter/10.1007/978-1-4842-2301-7_17/fulltext.html https://link.springer.com/chapter/10.1007%2F978-1-4842-2301-7_17,http://dx.doi.org/10.1007/978-1-4842-2301-7_17,,10.1007/978-1-4842-2301-7_17,2545844851,,0,
000-749-508-881-887,Is your database relational? Part 1: the 12 rules of relational databases.,1987-05-01,1987,,Richard Finkelstein,,Database design; Codd's 12 rules; Information retrieval; Relational database management system; Domain relational calculus; Relational model; Computer science; Relational database; Conjunctive query; Relational calculus,,,,,http://dl.acm.org/citation.cfm?id=32312.32318,http://dl.acm.org/citation.cfm?id=32312.32318,,,93363326,,0,
000-916-296-309-242,RSFDGrC - The Study of Some Important Theoretical Problems for Rough Relational Database,,2007,Germany,Qiusheng An,"In this paper, some important theoretical problems about rough relational database(RRDM) are studied. Firstly, the relationship between rough relational database and non-deterministic information systems is analyzed, secondly, the decomposition operator is introduced based on rough relational operator and its basic properties are discussed. In addition, the definability of rough relational database and the rough description of attribute values of rough relational database are investigated respectively. The redundant factor of rough functional dependency is proposed, as well as rough functional dependency and its inference rules are mainly studied.",Data mining; Functional dependency; Mathematics; Rule of inference; Dominance-based rough set approach; Relational model; Relational database; Relational operator; Operator (computer programming); Decomposition (computer science),,,,,https://dblp.uni-trier.de/db/conf/rsfdgrc/rsfdgrc2007.html#An07 https://rd.springer.com/chapter/10.1007/978-3-540-72530-5_66 https://link.springer.com/chapter/10.1007/978-3-540-72530-5_66,http://dx.doi.org/10.1007/978-3-540-72530-5_66,,10.1007/978-3-540-72530-5_66,1504218574,,0,011-332-149-326-659; 028-203-239-627-769; 037-242-560-656-513; 046-731-416-247-778; 047-737-804-078-332; 081-043-999-017-324; 090-998-415-900-497; 104-823-978-285-32X; 114-094-790-502-914; 114-289-461-490-377; 199-867-841-315-410
000-920-903-665-591,Translating Relational Conceptual Schema to Object-Oriented Schema,,2001,,Lay-Ki Soon,"A multidatabase is a confederation of preexisting distributed, heterogeneous, and; autonomous database system. The integration process is essential in the effort of; forming a distributed, heterogeneous database system. This process generally; consists of two main phases, which are conceptual schema translation phase and; followed by the integration phase. In our research, we have proposed an alternative; translation approach to convert relational database schema to object--oriented; database schema.; The translation approach consists of a set of translation rules, which are based on; inclusion dependencies, key attributes and types of attributes. A database schema; translation tool prototype, called RETOO (Relational-to-Object-Oriented) is then; developed based on the proposed translation approach. RETOO receives a relational; database schema as input data and generate an object-oriented database schema as; the output data.RETOO operates semi-automatically, especially in the process of identifying; operations for each class. This is because relational data model does not provide the; behavioural information of every entity.; The translation approach and RETOO database translation tool prototype are not; only able to maintain the semantics of the relational database schema, but also; enhance the semantics of the translated object-oriented schema via object-oriented; data modelling concepts.",Database design; Information schema; Schema migration; Star schema; Information retrieval; Conceptual schema; Database schema; Computer science; Superkey; Semi-structured model,,,,,http://psasir.upm.edu.my/id/eprint/8668/,http://psasir.upm.edu.my/id/eprint/8668/,,,2582962420,,0,
001-029-329-921-995,The Research of Relational Database Query Processing Based on Cloud Platform,,2017,,Wei Gu,"Big Data is now increasing rapidly, It need for more servers to handle large amounts of data, resulting in a number of different ways to improve the operation of data processing time, Cloud data processing platform is the most popular way of operation, Non-structured data using a cloud environment, in the form of key-value store, but because many enterprises use relational database structure to store data currently, and therefore cannot directly migrate from these databases to the cloud platform. In this paper, based on the cloud platform relational database, relational database with the new data separation and polymerization techniques, query processing optimization algorithms using MapReduce architecture to build a relational database query processing mechanism under the cloud platform.",Database design; Query optimization; Sargable; Query by Example; Information retrieval; Relational database management system; Computer science; View; Relational database; Database model; Database,cloud platform; query processing; relational database,,,,https://www.atlantis-press.com/proceedings/eia-17/25881964,http://dx.doi.org/10.2991/eia-17.2017.21,,10.2991/eia-17.2017.21,2751646092,,0,
001-048-131-858-621,Constructing of Object Oriented Databases from Relational Databases: A Review,,2013,,Amit Sinhal; Akanksha Jain,"Many information systems use relational database systems for efficient sharing, storage, and retrieval of large quantities of data. Nowadays, object- oriented databases has been gaining wide acceptance for storage & retrieval data for complex applications that can easily extend and maintain. In this paper, we present the novel techniques to transform the data that is available in relational database to a format that is suitable for access and manipulation by object-oriented applications. This paper presents a unique approach that will convert a given relational database into an object-oriented database.",Change data capture; Database theory; Database design; Information retrieval; Relational database management system; Database schema; Computer science; View; Relational database; Database model; Database,,,,,,,,,2400945447,,0,005-220-202-004-138; 005-644-344-395-647; 035-776-320-401-574; 041-425-564-945-183; 047-690-500-096-296; 081-158-597-761-409; 088-357-902-236-819; 123-258-614-785-614; 139-499-450-289-320; 173-748-092-464-850; 174-433-015-143-164
001-073-887-796-63X,Konstruiranje ontologije iz meta podataka relacijske baze podataka,,2007,,Damir Jurić,"Ontologies represent main building material for creation of Semantic Web. Without ontologies it could not be possible to enable machine processability of data on the Semantic Web. Data is usually stored inside relational databases that represent the backbone for dynamical Web sites. That data represents the invisible Web, ignored by search engines and Web crawlers. This work, deals with the problem of migration of relational database into the Semantic Web domain. After the analysis of relational database metadata, a set of rules have been perceived, that allows mapping between parts of relational database schema to OWL ontologies, but without altering the semantic relations that already exists between concepts in the relational database. This works presents genuine mapping rules for mapping relational database schema to OWL ontology on selected case study. Also, core ontology created from analyzing database schema is enriched using WordNet lexical database, by defining WordNet-to-OWL mapping rules.",Web Ontology Language; Web crawler; WordNet; Semantic Web; Information retrieval; Lexical database; Database schema; Computer science; Relational database; Metadata,,,,,https://dr.nsk.hr/islandora/object/fer%3A6735 https://dabar.srce.hr/en/islandora/object/fer%3A6735 https://repozitorij.fer.unizg.hr/islandora/object/fer:6735,https://dr.nsk.hr/islandora/object/fer%3A6735,,,3013800363,,0,
